passage,reading_level
"It is a testament to the content of Louie’s childhood that his stories about it usually ended with “… and then I ran like mad.” He was often chased by people he had robbed, and at least two people threatened to shoot him. To minimize the evidence found on him when the police habitually came his way, he set up lootstashing sites around town, including a three-seater cave that he dug in a nearby forest. Under the Torrance High bleachers, Pete once found a stolen wine jug that Louie had hidden there. It was teeming with inebriated ants.",High
"In the lobby of the Torrance theater, Louie stopped up the pay telephone’s coin slots with toilet paper. He returned regularly to feed wire behind the coins stacked up inside, hook the paper, and fill his palms with change. A metal dealer never guessed that the grinning Italian kid who often came by to sell him armfuls of copper scrap had stolen the same scrap from his lot the night before. Discovering, while scuffling with an enemy at a circus, that adults would give quarters to fighting kids to pacify them, Louie declared a truce with the enemy and they cruised around staging brawls before strangers.",High
"To get even with a railcar conductor who wouldn’t stop for him, Louie greased the rails. When a teacher made him stand in a corner for spitballing, he deflated her car tires with toothpicks. After setting a legitimate Boy Scout state record in frictionfire ignition, he broke his record by soaking his tinder in gasoline and mixing it with match heads, causing a small explosion. He stole a neighbor’s coffee percolator tube, set up a sniper’s nest in a tree, crammed pepper-tree berries into his mouth, spat them through the tube, and sent the neighborhood girls running.",High
"His magnum opus became legend. Late one night, Louie climbed the steeple of a Baptist church, rigged the bell with piano wire, strung the wire into a nearby tree, and roused the police, the fire department, and all of Torrance with apparently spontaneous pealing. The more credulous townsfolk called it a sign from God.",High
"Only one thing scared him. When Louie was in late boyhood, a pilot landed a plane near Torrance and took Louie up for a flight. One might have expected such an intrepid child to be ecstatic, but the speed and altitude frightened him. From that day on, he wanted nothing to do with airplanes",High
"In a childhood of artful dodging, Louie made more than just mischief. He shaped who he would be in manhood. Confident that he was clever, resourceful, and bold enough to escape any predicament, he was almost incapable of discouragement. When history carried him into war, this resilient optimism would define him.",High
"Louie was twenty months younger than his brother, who was everything he was not. Pete Zamperini was handsome, popular, impeccably groomed, polite to elders and avuncular to juniors, silky smooth with girls, and blessed with such sound judgment that even when he was a child, his parents consulted him on difficult decisions. He ushered his mother into her seat at dinner, turned in at seven, and tucked his alarm clock under his pillow so as not to wake Louie, with whom he shared a bed. He rose at two-thirty to run a three-hour paper route, and deposited all his earnings in the bank, which would swallow every penny when the Depression hit.",High
"Louie idolized Pete, who watched over him and their younger sisters, Sylvia and Virginia, with paternal protectiveness. But Louie was eclipsed, and he never heard the end of it. Sylvia would recall her mother tearfully telling Louie how she wished he could be more like Pete. What made it more galling was that Pete’s reputation was part myth. Though Pete earned grades little better than Louie’s failing ones, his principal assumed that he was a straight-A student. On the night of Torrance’s church bell miracle, a well-directed flashlight would have revealed Pete’s legs dangling from the tree alongside Louie’s. And Louie wasn’t always the only Zamperini boy who could be seen sprinting down the alley with food that had lately belonged to the neighbors. But it never occurred to anyone to suspec",High
"Nothing about Louie fit with other kids. He was a puny boy, and in his first years in Torrance, his lungs were still compromised enough from the pneumonia that in picnic footraces, every girl in town could dust him. His features, which would later settle into pleasant collaboration, were growing at different rates, giving him a curious face that seemed designed by committee. His ears leaned sidelong off his head like holstered pistols, and above them waved a calamity of black hair that mortified him. He attacked it with his aunt Margie’s hot iron, hobbled it in a silk stocking every night, and slathered it with so much olive oil that flies trailed him to school. It did no good.",High
"And then there was his ethnicity. In Torrance in the early 1920s, Italians were held in such disdain that when the Zamperinis arrived, the neighbors petitioned the city council to keep them out. Louie, who knew only a smattering of English until he was in grade school, couldn’t hide his pedigree. He survived kindergarten by keeping mum, but in first grade, when he blurted out “Brutte bastarde!” at another kid, his teachers caught on. They compounded his misery by holding him back a grade.",High
"He was a marked boy. Bullies, drawn by his oddity and hoping to goad him into uttering Italian curses, pelted him with rocks, taunted him, punched him, and kicked him. He tried buying their mercy with his lunch, but they pummeled him anyway, leaving him bloody. He could have ended the beatings by running away or succumbing to tears, but he refused to do either. “You could beat him to death,” said Sylvia, “and he wouldn’t say ‘ouch’ or cry.” He just put his hands in front of his face and took it.",High
"As Louie neared his teens, he took a hard turn. Aloof and bristling, he lurked around the edges of Torrance, his only friendships forged loosely with rough boys who followed his lead. He became so germophobic that he wouldn’t tolerate anyone coming near his food. Though he could be a sweet boy, he was often short-tempered and obstreperous. He feigned toughness, but was secretly tormented. Kids passing into parties would see him lingering outside, unable to work up the courage to walk in.",High
"Frustrated at his inability to defend himself, he made a study of it. His father taught him how to work a punching bag and made him a barbell from two lead-filled coffee cans welded to a pipe. The next time a bully came at Louie, he ducked left and swung his right fist straight into the boy’s mouth. The bully shrieked, his tooth broken, and fled. The feeling of lightness that Louie experienced on his walk home was one he would never forget.",High
"Over time, Louie’s temper grew wilder, his fuse shorter, his skills sharper. He socked a girl. He pushed a teacher. He pelted a policeman with rotten tomatoes. Kids who crossed him wound up with fat lips, and bullies learned to give him a wide berth. He once came upon Pete in their front yard, in a standoff with another boy. Both boys had their fists in front of their chins, each waiting for the other to swing. “Louie can’t stand it,” remembered Pete. “He’s standing there, ‘Hit him, Pete! Hit him, Pete!’ I’m waiting there, and all of a sudden Louie turns around and smacks this guy right in the gut. And then he runs!”",High
"Anthony Zamperini was at his wits’ end. The police always seemed to be on the front porch, trying to talk sense into Louie. There were neighbors to be apologized to and damages to be compensated for with money that Anthony couldn’t spare. Adoring his son but exasperated by his behavior, Anthony delivered frequent, forceful spankings. Once, after he’d caught Louie wiggling through a window in the middle of the night, he delivered a kick to the rear so forceful that it lifted Louie off the floor. Louie absorbed the punishment in tearless silence, then committed the same crimes again, just to show he could",High
"Louie’s mother, Louise, took a different tack. Louie was a copy of herself, right down to the vivid blue eyes. When pushed, she shoved; sold a bad cut of meat, she’d march down to the butcher, frying pan in hand. Loving mischief, she spread icing over a cardboard box and presented it as a birthday cake to a neighbor, who promptly got the knife stuck. When Pete told her he’d drink his castor oil if she gave him a box of candy, she agreed, watched him drink it, then handed him an empty candy box. “You only asked for the box, honey,” she said with a smile. “That’s all I got.” And she understood Louie’s restiveness. One Halloween, she dressed as a boy and raced around town trick-or-treating with Louie and Pete. A gang of kids, thinking she was one of the local toughs, tackled her and tried to steal her pants. Little Louise Zamperini, mother of four, was deep in the melee when the cops picked her up for brawling.",High
"Knowing that punishing Louie would only provoke his defiance, Louise took a surreptitious route toward reforming him. In search of an informant, she worked over Louie’s schoolmates with homemade pie and turned up a soft boy named Hugh, whose sweet tooth was Louie’s undoing. Louise suddenly knew everything Louie was up to, and her children wondered if she had developed psychic powers. Sure that Sylvia was snitching, Louie refused to sit at the supper table with her, eating his meals in spiteful solitude off the open oven door. He once became so enraged with her that he chased her around the block. Outrunning Louie for the only time in her life, Sylvia cut down the alley and dove into her father’s work shed. Louie flushed her out by feeding his three-foot-long pet snake into the crawl space. She then locked herself in the family car and didn’t come out for an entire afternoon. “It was a matter of life and death,” she said some seventy-five years later.",High
"For all her efforts, Louise couldn’t change Louie. He ran away and wandered around San Diego for days, sleeping under a highway overpass. He tried to ride a steer in a pasture, got tossed onto the ragged edge of a fallen tree, and limped home with his gashed knee bound in a handkerchief. Twenty-seven stitches didn’t tame him. He hit one kid so hard that he broke his nose. He upended another boy and stuffed paper towels in his mouth. Parents forbade their kids from going near him. A farmer, furious over Louie’s robberies, loaded his shotgun with rock salt and blasted him in the tail. Louie beat one kid so badly, leaving him unconscious in a ditch, that he was afraid he’d killed him. When Louise saw the blood on Louie’s fists, she burst into tears.",High
"As Louie prepared to start Torrance High, he was looking less like an impish kid and more like a dangerous young man. High school would be the end of his education. There was no money for college; Anthony’s paycheck ran out before the week’s end, forcing Louise to improvise meals out of eggplant, milk, stale bread, wild mushrooms, and rabbits that Louie and Pete shot in the fields. With flunking grades and no skills, Louie had no chance for a scholarship. It was unlikely that he could land a job. The Depression had come, and the unemployment rate was nearing 25 percent. Louie had no real ambitions. If asked what he wanted to be, his answer would have been “cowboy.”",High
"In the 1930s, America was infatuated with the pseudoscience of eugenics and its promise of strengthening the human race by culling the “unfit” from the genetic pool. Along with the “feebleminded,” insane, and criminal, those so classified included women who had sex out of wedlock (considered a mental illness), orphans, the disabled, the poor, the homeless, epileptics, masturbators, the blind and the deaf, alcoholics, and girls whose genitals exceeded certain measurements. Some eugenicists advocated euthanasia, and in mental hospitals, this was quietly carried out on scores of people through “lethal neglect” or outright murder. At one Illinois mental hospital, new patients were dosed with milk from cows infected with tuberculosis, in the belief that only the undesirable would perish. As many as four in ten of these patients died. A more popular tool of eugenics was forced sterilization, employed on a raft of lost souls who, through misbehavior or misfortune, fell into the hands of state governments. By 1930, when Louie was entering his teens, California was enraptured with eugenics, and would ultimately sterilize some twenty thousand people.",High
"When Louie was in his early teens, an event in Torrance brought reality home. A kid from Louie’s neighborhood was deemed feebleminded, institutionalized, and barely saved from sterilization through a frantic legal effort by his parents, funded by their Torrance neighbors. Tutored by Louie’s siblings, the boy earned straight A’s. Louie was never more than an inch from juvenile hall or jail, and as a serial troublemaker, a failing student, and a suspect Italian, he was just the sort of rogue that eugenicists wanted to cull. Suddenly understanding what he was risking, he felt deeply shaken.",High
"The person that Louie had become was not, he knew, his authentic self. He made hesitant efforts to connect to others. He scrubbed the kitchen floor to surprise his mother, but she assumed that Pete had done it. While his father was out of town, Louie overhauled the engine on the family’s Marmon Roosevelt Straight-8 sedan. He baked biscuits and gave them away; when his mother, tired of the mess, booted him from her kitchen, he resumed baking in a neighbor’s house. He doled out nearly everything he stole. He was “bighearted,” said Pete. “Louie would give away anything, whether it was his or not.”",High
"Each attempt he made to right himself ended wrong. He holed up alone, reading Zane Grey novels and wishing himself into them, a man and his horse on the frontier, broken off from the world. He haunted the theater for western movies, losing track of the plots while he stared at the scenery. On some nights, he’d drag his bedding into the yard to sleep alone. On others, he’d lie awake in bed, beneath pinups of movie cowboy Tom Mix and his wonder horse, Tony, feeling snared on something from which he couldn’t kick free.",High
"In the back bedroom he could hear trains passing. Lying beside his sleeping brother, he’d listen to the broad, low sound: faint, then rising, faint again, then a high, beckoning whistle, then gone. The sound of it brought goose bumps. Lost in longing, Louie imagined himself on a train, rolling into country he couldn’t see, growing smaller and more distant until he disappeared.",High
"When Pete learned what had happened, he headed straight to the principal’s office. Though his mother didn’t yet speak much English, he towed her along to give his presentation weight. He told the principal that Louie craved attention but had never won it in the form of praise, so he sought it in the form of punishment. If Louie were recognized for doing something right, Pete argued, he’d turn his life around. He asked the principal to allow Louie to join a sport. When the principal balked, Pete asked him if he could live with allowing Louie to fail. It was a cheeky thing for a sixteen-year-old to say to his principal, but Pete was the one kid in Torrance who could get away with such a remark, and make it persuasive. Louie was made eligible for athletics for 1932.",High
"Pete had big plans for Louie. A senior in 1931–32, he would graduate with ten varsity letters, including three in basketball and three in baseball. But it was track, in which he earned four varsity letters, tied the school half-mile record, and set its mile record of 5:06, that was his true forte. Looking at Louie, whose getaway speed was his saving grace, Pete thought he saw the same incipient talent.",High
"As it turned out, it wasn’t Pete who got Louie onto a track for the first time. It was Louie’s weakness for girls. In February, the ninth-grade girls began assembling a team for an interclass track meet, and in a class with only four boys, Louie was the only male who looked like he could run. The girls worked their charms, and Louie found himself standing on the track, barefoot, for a 660-yard race. When everyone ran, he followed, churning along with jimmying elbows and dropping far behind. As he labored home last, he heard tittering. Gasping and humiliated, he ran straight off the track and hid under the bleachers. The coach muttered something about how that kid belonged anywhere but in a footrace. “He’s my brother,” Pete replied.",High
"From that day on, Pete was all over Louie, forcing him to train, then dragging him to the track to run in a second meet. Urged on by kids in the stands, Louie put in just enough effort to beat one boy and finish third. He hated running, but the applause was intoxicating, and the prospect of more was just enough incentive to keep him marginally compliant. Pete herded him out to train every day and rode his bicycle behind him, whacking him with a stick. Louie dragged his feet, bellyached, and quit at the first sign of fatigue. Pete made him get up and keep going. Louie started winning. At the season’s end, he became the first Torrance kid to make the All City Finals. He finished fifth.",High
"It began over a chore that Louie’s father asked him to do. Louie resisted, a spat ensued, and Louie threw some clothes into a bag and stormed toward the front door. His parents ordered him to stay; Louie was beyond persuasion. As he walked out, his mother rushed to the kitchen and emerged with a sandwich wrapped in waxed paper. Louie stuffed it in his bag and left. He was partway down the front walk when he heard his name called. When he turned, there was his father, grim-faced, holding two dollars in his outstretched hand. It was a lot of money for a man whose paycheck didn’t bridge the week. Louie took it and walked away.",High
"The trip was a nightmare. The boys got locked in a boxcar so hot that they were soon frantic to escape. Louie found a discarded strip of metal, climbed on his friend’s shoulders, pried a vent open, squirmed out, and helped his friend out, badly cutting himself in the process. Then they were discovered by the railroad detective, who forced them to jump from the moving train at gunpoint. After several days of walking, getting chased out of orchards and grocery stores where they tried to steal food, they wound up sitting on the ground in a railyard, filthy, bruised, sunburned, and wet, sharing a stolen can of beans. A train rattled past. Louie looked up. “I saw … beautiful white tablecloths and crystal on the tables, and food, people laughing and enjoying themselves and eating,” he said later. “And [I was] sitting here shivering, eating a miserable can of beans.” He remembered the money in his father’s hand, the fear in his mother’s eyes as she offered him a sandwich. He stood up and headed home.",High
"When Louie walked into his house, Louise threw her arms around him, inspected him for injuries, led him to the kitchen, and gave him a cookie. Anthony came home, saw Louie, and sank into a chair, his face soft with relief. After dinner, Louie went upstairs, dropped into bed, and whispered his surrender to Pete.",High
"In the summer of 1932, Louie did almost nothing but run. On the invitation of a friend, he went to stay at a cabin on the Cahuilla Indian Reservation, in southern California’s high desert. Each morning, he rose with the sun, picked up his rifle, and jogged into the sagebrush. He ran up and down hills, over the desert, through gullies. He chased bands of horses, darting into the swirling herds and trying in vain to snatch a fistful of mane and swing aboard. He swam in a sulfur spring, watched over by Cahuilla women scrubbing clothes on the rocks, and stretched out to dry himself in the sun. On his run back to the cabin each afternoon, he shot a rabbit for supper. Each evening, he climbed atop the cabin and lay back, reading Zane Grey novels. When the sun sank and the words faded, he gazed over the landscape, moved by its beauty, watching it slip from gray to purple before darkness blended land and sky. In the morning he rose to run again. He didn’t run from something or to something, not for anyone or in spite of anyone; he ran because it was what his body wished to do. The restiveness, the self-consciousness, and the need to oppose disappeared. All he felt was peace.",High
"He came home with a mania for running. All of the effort that he’d once put into thieving he threw into track. On Pete’s instruction, he ran his entire paper route for the Torrance Herald, to and from school, and to the beach and back. He rarely stayed on the sidewalk, veering onto neighbors’ lawns to hurdle bushes. He gave up drinking and smoking. To expand his lung capacity, he ran to the public pool at Redondo Beach, dove to the bottom, grabbed the drain plug, and just floated there, hanging on a little longer each time. Eventually, he could stay underwater for three minutes and forty-five seconds. People kept jumping in to save him",High
"Louie also found a role model. In the 1930s, track was hugely popular, and its elite performers were household names. Among them was a Kansas University miler named Glenn Cunningham. As a small child, Cunningham had been in a schoolhouse explosion that killed his brother and left Glenn with severe burns on his legs and torso. It was a month and a half before he could sit up, and more time still before he could stand. Unable to straighten his legs, he learned to push himself about by leaning on a chair, his legs floundering. He graduated to the tail of the family mule, and eventually, hanging off the tail of an obliging horse named Paint, he began to run, a gait that initially caused him excruciating pain. Within a few years, he was racing, setting mile records and obliterating his opponents by the length of a homestretch. By 1932, the modest, mild-tempered Cunningham, whose legs and back were covered in a twisting mesh of scars, was becoming a national sensation, soon to be acclaimed as the greatest miler in American history. Louie had his hero. In the fall of 1932, Pete began his studies at Compton, a tuition-free junior college, where he became a star runner. Nearly every afternoon, he commuted home to coach Louie, running alongside him, subduing the jimmying elbows and teaching him strategy. Louie had a rare biomechanical advantage, hips that rolled as he ran; when one leg reached forward, the corresponding hip swung forward with it, giving Louie an exceptionally efficient, seven-foot stride. After watching him from the Torrance High fence, cheerleader Toots Bowersox needed only one word to describe him: “Smoooooth.” Pete thought that the sprints in which Louie had been running were too short. He’d be a miler, just like Glenn Cunningham.",High
"In January 1933, Louie began tenth grade. As he lost his aloof, thorny manner, he was welcomed by the fashionable crowd. They invited him to weenie bakes in front of Kellow’s Hamburg Stand, where Louie would join ukulele sing-alongs and touch football games played with a knotted towel, contests that inevitably ended with a cheerleader being wedged into a trash can. Capitalizing on his sudden popularity, Louie ran for class president and won, borrowing the speech that Pete had used to win his class presidency at Compton. Best of all, girls suddenly found him dreamy. While walking alone on his sixteenth birthday, Louie was ambushed by a giggling gaggle of cheerleaders. One girl sat on Louie while the rest gave him sixteen whacks on the rear, plus one to grow on.",High
"When the school track season began in February, Louie set out to see what training had done for him. His transformation was stunning. Competing in black silk shorts that his mother had sewn from the fabric of a skirt, he won an 880-yard race, breaking the school record, co-held by Pete, by more than two seconds. A week later, he ran a field of milers off their feet, stopping the watches in 5:03, three seconds faster than Pete’s record. At another meet, he clocked a mile in 4:58. Three weeks later, he set a state record of 4:50.6. By early April, he was down to 4:46; by late April, 4:42. “Boy! oh boy! oh boy!” read a local paper. “Can that guy fly? Yes, this means that Zamperini guy!”",High
"IN CHICAGO AT THE END of the nineteenth century amid the smoke of industry and the clatter of trains there lived two men, both handsome, both blue-eyed, and both unusually adept at their chosen skills. Each embodied an element of the great dynamic that characterized the rush of America toward the twentieth century. One was an architect, the builder of many of America’s most important structures, among them the Flatiron Building in New York and Union Station in Washington, D.C.; the other was a murderer, one of the most prolific in history and harbinger of an American archetype, the urban serial killer. Although the two never met, at least not formally, their fates were linked by a single, magical event, one largely fallen from modern recollection but that in its time was considered to possess a transformative power nearly equal to that of the Civil War.",High
"In the following pages I tell the story of these men and this event, but I must insert here a notice: However strange or macabre some of the following incidents may seem, this is not a work of fiction. Anything between quotation marks comes from a letter, memoir, or other written document. The action takes place mostly in Chicago, but I beg readers to forgive me for the occasional lurch across state lines, as when the staunch, grief-struck Detective Geyer enters that last awful cellar. I beg forbearance, too, for the occasional side journey demanded by the story, including excursions into the medical acquisition of corpses and the correct use of Black Prince geraniums in an Olmstedian landscape.",High
"Beneath the gore and smoke and loam, this book is about the evanescence of life, and why some men choose to fill their brief allotment of time engaging the impossible, others in the manufacture of sorrow. In the end it is a story of the ineluctable conflict between good and evil, daylight and darkness, the White City and the Black.",High
"THE DATE WAS APRIL 14, 1912, a sinister day in maritime history, but of course the man in suite 63—65, shelter deck C, did not yet know it. What he did know was that his foot hurt badly, more than he had expected. He was sixty-five years old and had become a large man. His hair had turned gray, his mustache nearly white, but his eyes were as blue as ever, bluer at this instant by proximity to the sea. His foot had forced him to delay the voyage, and now it kept him anchored in his suite while the other first-class passengers, his wife among them, did what he would have loved to do, which was to explore the ship’s more exotic precincts. The man loved the opulence of the ship, just as he loved Pullman Palace cars and giant fireplaces, but his foot problem tempered his enjoyment. He recognized that the systemic malaise that caused it was a consequence in part of his own refusal over the years to limit his courtship of the finest wines, foods, and cigars. The pain reminded him daily that his time on the planet was nearing its end. Just before the voyage he told a friend, “This prolonging of a man’s life doesn’t interest me when he’s done his work and has done it pretty well.”",High
"The man was Daniel Hudson Burnham, and by now his name was familiar throughout the world. He was an architect and had done his work pretty well in Chicago, New York, Washington, San Francisco, Manila, and many other cities. He and his wife, Margaret, were sailing to Europe in the company of their daughter and her husband for a grand tour that was to continue through the summer. Burnham had chosen this ship, the R.M.S. Olympic of the White Star Line, because it was new and glamorous and big. At the time he booked passage the Olympic was the largest vessel in regular service, but just three days before his departure a sister ship—a slightly longer twin—had stolen that rank when it set off on its maiden voyage. The twin, Burnham knew, was at that moment carrying one of his closest friends, the painter Francis Millet, over the same ocean but in the opposite direction.",High
"As the last sunlight of the day entered Burnham’s suite, he and Margaret set off for the first-class dining room on the deck below. They took the elevator to spare his foot the torment of the grand stairway, but he did so with reluctance, for he admired the artistry in the iron scrollwork of its balustrades and the immense dome of iron and glass that flushed the ship’s core with natural light. His sore foot had placed increasing limitations on his mobility. Only a week earlier he had found himself in the humiliating position of having to ride in a wheelchair through Union Station in Washington, D.C., the station he had designed.",High
"The Burnhams dined by themselves in the Olympic’s firstclass salon, then retired to their suite and there, for no particular reason, Burnham’s thoughts returned to Frank Millet. On impulse, he resolved to send Millet a midsea greeting via the Olympic’s powerful Marconi wireless.",High
"Burnham signaled for a steward. A middle-aged man in knifeedge whites took his message up three decks to the Marconi room adjacent to the officer’s promenade. He returned a few moments later, the message still in his hand, and told Burnham the operator had refused to accept it.",High
"Millet was never far from Burnham’s mind, nor was the event that had brought the two of them together: the great Chicago world’s fair of 1893. Millet had been one of Burnham’s closest allies in the long, bittersweet struggle to build the fair. Its official name was the World’s Columbian Exposition, its official purpose to commemorate the four hundredth anniversary of Columbus’s discovery of America, but under Burnham, its chief builder, it had become something enchanting, known throughout the world as the White City.",High
"It had lasted just six months, yet during that time its gatekeepers recorded 27.5 million visits, this when the country’s total population was 65 million. On its best day the fair drew more than 700,000 visitors. That the fair had occurred at all, however, was something of a miracle. To build it Burnham had confronted a legion of obstacles, any one of which could have—should have—killed it long before Opening Day. Together he and his architects had conjured a dream city whose grandeur and beauty exceeded anything each singly could have imagined. Visitors wore their best clothes and most somber expressions, as if entering a great cathedral. Some wept at its beauty. They tasted a new snack called Cracker Jack and a new breakfast food called Shredded Wheat. Whole villages had been imported from Egypt, Algeria, Dahomey, and other far-flung locales, along with their inhabitants.",High
"The Street in Cairo exhibit alone employed nearly two hundred Egyptians and contained twenty-five distinct buildings, including a fifteen-hundred-seat theater that introduced America to a new and scandalous form of entertainment. Everything about the fair was exotic and, above all, immense. The fair occupied over one square mile and filled more than two hundred buildings. A single exhibit hall had enough interior volume to have housed the U.S. Capitol, the Great Pyramid, Winchester Cathedral, Madison Square Garden, and St. Paul’s Cathedral, all at the same time. One structure, rejected at first as a “monstrosity,” became the fair’s emblem, a machine so huge and terrifying that it instantly eclipsed the tower of Alexandre Eiffel that had so wounded America’s pride.",High
"That something magical had occurred in that summer of the world’s fair was beyond doubt, but darkness too had touched the fair. Scores of workers had been hurt or killed in building the dream, their families consigned to poverty. Fire had killed fifteen more, and an assassin had transformed the closing ceremony from what was to have been the century’s greatest celebration into a vast funeral. Worse had occurred too, although these revelations emerged only slowly.",High
"A murderer had moved among the beautiful things Burnham had created. Young women drawn to Chicago by the fair and by the prospect of living on their own had disappeared, last seen at the killer’s block-long mansion, a parody of everything architects held dear. Only after the exposition had Burnham and his colleagues learned of the anguished letters describing daughters who had come to the city and then fallen silent. The press speculated that scores of fairgoers must have disappeared within the building.",High
"Even the street-hardened members of the city’s Whitechapel Club, named for the London stalking grounds of Jack the Ripper, were startled by what detectives eventually found inside and by the fact that such grisly events could have gone undiscovered for so long. The rational explanation laid blame on the forces of change that during this time had convulsed Chicago. Amid so much turmoil it was understandable that the work of a young and handsome doctor would go unnoticed. As time passed, however, even sober men and women began to think of him in less-than-rational terms. He described himself as the Devil and contended that his physical shape had begun to alter. Enough strange things began happening to the men who brought him to justice to make his claim seem almost plausible.",High
"Burnham’s foot ached. The deck thrummed. No matter where you were on the ship, you felt the power of the Olympic’s twenty-nine boilers transmitted upward through the strakes of the hull. It was the one constant that told you—even in the staterooms and dining chambers and smoking lounge, despite the lavish efforts to make these rooms look as if they had been plucked from the Palace of Versailles or a Jacobean mansion— that you were aboard a ship being propelled far into the bluest reaches of the ocean.",High
"Burnham and Millet were among the few builders of the fair still alive. So many others had gone. Olmsted and Codman. McKim. Hunt. Atwood—mysteriously. And that initial loss, which Burnham still found difficult to comprehend. Soon no one would remain, and the fair would cease to exist as a living memory in anyone’s brain.",High
"Of the key men, who besides Millet was left? Only Louis Sullivan: embittered, perfumed with alcohol, resenting who knew what, but not above coming by Burnham’s office for a loan or to sell some painting or sketch.",High
"The steward came back. The expression in his eyes had changed. He apologized. He still could not send the message, he said, but at least now he had an explanation. An accident had occurred involving Millet’s ship. In fact, he said, the Olympic was at that moment speeding north at maximum velocity to come to her aid, with instructions to receive and care for injured passengers. He knew nothing more.",High
"Burnham shifted his leg, winced, and waited for more news. He hoped that when the Olympic at last reached the site of the accident, he would find Millet and hear him tell some outrageous story about the voyage. In the peace of his stateroom, Burnham opened his diary.",High
"A thousand trains a day entered or left Chicago. Many of these trains brought single young women who had never even seen a city but now hoped to make one of the biggest and toughest their home. Jane Addams, the urban reformer who founded Chicago’s Hull House, wrote, “Never before in civilization have such numbers of young girls been suddenly released from the protection of the home and permitted to walk unattended upon the city streets and to work under alien roofs.” The women sought work as typewriters, stenographers, seamstresses, and weavers. The men who hired them were for the most part moral citizens intent on efficiency and profit. But not always.",High
"On March 30, 1890, an officer of the First National Bank placed a warning in the help-wanted section of the Chicago Tribune, to inform female stenographers of “our growing conviction that no thoroughly honorable businessman who is this side of dotage ever advertises for a lady stenographer who is a blonde, is good-looking, is quite alone in the city, or will transmit her photograph. All such advertisements upon their face bear the marks of vulgarity, nor do we regard it safe for any lady to answer such unseemly utterances.”",High
"The women walked to work on streets that angled past bars, gambling houses, and bordellos. Vice thrived, with official indulgence. “The parlors and bedrooms in which honest folk lived were (as now) rather dull places,” wrote Ben Hecht, late in his life, trying to explain this persistent trait of old Chicago. “It was pleasant, in a way, to know that outside their windows, the devil was still capering in a flare of brimstone.” In an analogy that would prove all too apt, Max Weber likened the city to “a human being with his skin removed.”",High
Anonymous death came early and often. Each of the thousand trains that entered and left the city did so at grade level. You could step from a curb and be killed by the Chicago Limited. Every day on average two people were destroyed at the city’s rail crossings. Their injuries were grotesque. Pedestrians retrieved severed heads. There were other hazards. Streetcars fell from drawbridges. Horses bolted and dragged carriages into crowds.,High
"Fires took a dozen lives a day. In describing the fire dead, the term the newspapers most liked to use was “roasted.” There was diphtheria, typhus, cholera, influenza. And there was murder. In the time of the fair the rate at which men and women killed one another rose sharply throughout the nation but especially in Chicago, where police found themselves without the manpower or expertise to manage the volume. In the first six months of 1892 the city experienced nearly eight hundred violent deaths. Four a day. Most were prosaic, arising from robbery, argument, or sexual jealousy",High
"Men shot women, women shot men, and children shot one another by accident. But all this could be understood. Nothing like the Whitechapel killings had occurred. Jack the Ripper’s five-murder spree in 1888 had defied explanation and captivated readers throughout America, who believed such a thing could not happen in their own hometowns.",High
But things were changing. Everywhere one looked the boundary between the moral and the wicked seemed to be degrading. Elizabeth Cady Stanton argued in favor of divorce. Clarence Darrow advocated free love. A young woman named Borden killed her parents.,High
"And in Chicago a young handsome doctor stepped from a train, his surgical valise in hand. He entered a world of clamor, smoke, and steam, refulgent with the scents of murdered cattle and pigs. He found it to his liking.",High
"The letters came later, from the Cigrands, Williamses, Smythes, and untold others, addressed to that strange gloomy castle at Sixty-third and Wallace, pleading for the whereabouts of daughters and daughters’ children.",High
"ON THE AFTERNOON OF MONDAY, February 24, 1890, two thousand people gathered on the sidewalk and street outside the offices of the Chicago Tribune, as similar crowds collected at each of the city’s twenty-eight other daily newspapers, and in hotel lobbies, in bars, and at the offices of Western Union and the Postal Telegraph Company. The gathering outside the Tribune included businessmen, clerks, traveling salesmen, stenographers, police officers, and at least one barber. Messenger boys stood ready to bolt as soon as there was news worth reporting.",High
"The air was cold. Smoke filled the caverns between buildings and reduced lateral visibility to a few blocks. Now and then police officers cleared a path for one of the city’s bright yellow streetcars, called gripcars for the way their operators attached them to an everrunning cable under the street. Drays full of wholesale goods rumbled over the pavers, led by immense horses gusting steam into the murk above.",High
"The wait was electric, for Chicago was a prideful place. In every corner of the city people looked into the faces of shopkeepers, cab drivers, waiters and bellboys to see whether the news already had come and whether it was good or bad. So far the year had been a fine one. Chicago’s population had topped one million for the first time, making the city the second most populous in the nation after New York, although disgruntled residents of Philadelphia, previously in second place, were quick to point out that Chicago had cheated by annexing large expanses of land just in time for the 1890 decadal census.",High
"Chicago shrugged the sniping off. Big was big. Success today would dispel at last the eastern perception that Chicago was nothing more than a greedy, hogslaughtering backwater; failure would bring humiliation from which the city would not soon recover, given how heartily its leading men had boasted that Chicago would prevail. It was this big talk, not the persistent southwesterly breeze, that had prompted New York editor Charles Anderson Dana to nickname Chicago “the Windy City.”",High
